No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
9,00009,โรงพยาบาลยันฮี (เครื่อง2),R,2.28,2.2,60,5.4,17.4,76.4,23.6,32.1,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 901,NGPH
24,00024,บริษัท กรุงเทพ พยาธิ-แลป จำกัด,R,2.28,2.18,60,5.4,17.8,77.9,23.7,30.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 836,NGPH
27,00027,คลินิกเทคนิคการแพทย์ เอ็น เอ บี,R,2.29,2.1,68,5.4,17.3,75.9,23.6,31.1,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 1889,NGPH
29,00029,โรงพยาบาลแหลมงอบ,R,2.25,2.14,87,5.3,23.3,103.6,23.7,22.8,,,,,,,,,,,(600) Mindray,,602,,,,BC-5380,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 201,PHCH
31,00031,โรงพยาบาลชะอวด,R,2.28,2.07,62,5.3,17.2,75.8,23.4,30.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 592,PHCH
41,00041,บริษัท ไลฟ์ ไดแอ็ก จำกัด,R,2.29,2.16,59,5.4,17.7,77.1,23.9,30.8,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1196,NGPH
42,00042,บริษัท โปร อินเตอร์ แลบ จำกัด,R,2.29,2.13,51,5.4,17.3,75.8,23.7,31.3,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1326,NGPH
48,00048,โรงพยาบาลหนองเสือ,R,2.29,2.16,58,5.5,17.7,77.1,23.8,30.9,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1379,PHCH
50,00050,โรงพยาบาลหันคา,R,2.23,2.13,68,5.4,16.8,75.7,24.4,32.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 1299,PHCH
52,00052,โรงพยาบาลรวมแพทย์สุโขทัย,R,2.25,2.1,89,5.3,23,102.2,23.5,23,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 863,NGPH
55,00055,โรงพยาบาลผักไห่,R,2.32,2.21,60,5.6,17.8,76.5,24,31.3,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 134,PHCH
99,00099,โรงพยาบาลยางตลาด,R,2.18,2.05,65,5.5,17.2,78.8,25.2,32,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 972,PHCH
104,00104,โรงพยาบาลปากพลี,R,2.34,2.15,107,5.2,26.6,113.5,22.6,19.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 168,PHCH
110,00110,โรงพยาบาลห้วยคต,R,2.32,2.15,61,5.5,18.5,79.7,23.7,29.7,,,,,,,,,,,(600) Mindray,,602,,,,BC5380,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 469,PHCH
126,00126,Alliance International Medical Centre,R,2.18,2.11,58,5.3,16.5,75.7,24.2,32,,,,,,,,,,,(600) Mindray,,602,,-,-,BC5180,10 กันยายน 2568,-,,,ส่งผลสมบูรณ์,,HM 821,NGPH
128,00128,โรงพยาบาลพิสัยเวช,R,4.26,7.78,247,11.9,38.5,96.2,29.8,30.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1053,NGPH
129,00129,โรงพยาบาลหนองคายวัฒนา,R,2.33,2.84,64,5.6,18,76.8,24,31,,,,,,,,,,,(600) Mindray,,602,,,,BC 5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 867,NGPH
130,00130,นอร์ทอีสเทอร์น-วัฒนา รพ.เอกชนขนาดใหญ่,R,2.33,2.16,63,5.5,17.7,76,23.5,30.9,,,,,,,,,,,(600) Mindray,,602,,,,BC5180,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1532,NGPH
143,00143,โรงพยาบาลอินทร์บุรี,R,2.3,2.12,66,5.6,17.8,77.4,24.3,31.5,,,,,,,,,,,(600) Mindray,,602,,,,BC5300,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 72,PHGH
