No,Lab Code,Lab Name,Report,Measured_RBC,Measured_WBC,Measured_PLT,Measured_Hb,Measured_Hct,Measured_MCV,Measured_MCH,Measured_MCHC,,Reference_RBC,Reference_WBC,Reference_PLT,Reference_Hb,Reference_Hct,Reference_MCV,Reference_MCH,Reference_MCHC,,Brand_Code,Brand_Name,Model_Code,Model_Description,Brand_Custom,Model_Custom,Model_Name,Submission_Date,Suggestion,Remarks,Defect_Note,Status,Status_Recheck,Labcode_HM,Type
7,00007,บริษัท เดอะโลตัส แอซเซอร์ เซ็นเตอร์ ฟอร์ เมดิคอล จำกัด,R,2.3,2.27,61,5.4,17.7,77,23.5,30.5,,,,,,,,,,,(600) Mindray,,606,,,,BC760,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1919/HM 1962,NGPH
34,00034,โรงพยาบาลตรอน,R,2.33,1.7,65,5.5,17.7,76,23.6,31.1,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1226,PHCH
43,00043,โรงพยาบาลบ้านโฮ่ง,R,2.27,1.83,52,5.4,17.4,76.7,23.9,31.1,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1167,PHCH
44,00044,ศูนย์อนามัยที่ 1 เชียงใหม่,R,2.18,2.05,59,5.3,16.8,77,24.5,31.8,,,,,,,,,,,(600) Mindray,,606,,,,BC780,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 35,DH
47,00047,โรงพยาบาลทหารอากาศ(สีกัน),R,2.23,2.14,57,5.3,17.2,77.2,23.7,30.7,,,,,,,,,,,(600) Mindray,,606,,,,BC 760,17 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 1739,GNPH
51,00051,โรงพยาบาลพบพระ,R,2.23,2.13,53,5.3,17.3,77.7,23.6,30.6,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 474,PHCH
65,00065,โรงพยาบาลเทิง,R,2.11,1.4,78,5.3,22.3,105.3,24.9,23.6,,,,,,,,,,,(600) Mindray,,606,,,,BC 760,10 กันยายน 2568,วัตถุทดสอบ A368 มี Hemolysis,,,ส่งผลสมบูรณ์,,HM 563,PHCH
77,00077,โรงพยาบาลคีรีมาศ,R,2.16,2.29,49,5.3,16.6,76.7,24.6,31.9,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,มีไฟล์แนบของ ศวก.2 เข้ามาด้วย,HM 478,PHCH
82,00082,โรงพยาบาลเวียงแหง,R,2.07,2.05,78,5.3,23.1,111.7,25.6,22.9,,,,,,,,,,,(600) Mindray,,606,,,,BC 760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 556,PHCH
100,00100,โรงพยาบาลแม่ฟ้าหลวง,R,2.19,2.14,64,5.4,16.9,77.1,24.5,32,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 573,PHCH
111,00111,โรงพยาบาลแม่ระมาด,R,2.34,2.03,62,5.6,18.1,77.4,24.1,30.9,,,,,,,,,,,(600) Mindray,,606,,,,BC-760,10 กันยายน 2568,จำนวน WBC ในสไลด์ ที่ต้องทำการ diff มีจำนวนน้อยเกินไปค่ะ,,,ส่งผลสมบูรณ์,,HM 471,PHCH
114,00114,โรงพยาบาลประสาทเชียงใหม่,R,2.26,1.92,63,5.4,17.3,76.6,24,31.2,,,,,,,,,,,(600) Mindray,,606,,,,760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 12,DMS
121,00121,โรงพยาบาลลี้,R,2.28,1.5,55,5.4,17.5,76.5,23.6,30.8,,,,,,,,,,,(600) Mindray,,606,,,,BC760,10 กันยายน 2568,,,,ส่งผลสมบูรณ์,,HM 580,PHCH
